URL,Suspicious,Threat Score,Total Indicators,Base64Strings,PowerShellCommands,EncodedPowerShell,PowerShellDownloads,ClipboardManipulation,ClipboardCommands,CaptchaElements,ObfuscatedJavaScript,SuspiciousCommands,SuspiciousKeywords,IP Addresses,High Risk Commands,JavaScript Redirects
http://185.196.8.60/,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
https://riverview-pools.com/verify/index.html,Yes,284,46,0,2,0,1,3,1,4,0,2,23,0,1,0
https://blessdayservices.org/up/,Yes,295,45,0,3,0,1,3,1,4,0,3,20,0,1,0
https://admin.gestroom.it/,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://test.peperoncinochepassione.it/,Yes,346,49,3,3,0,0,3,1,7,0,3,23,0,2,0
https://first-security-verden.de/,No,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.first-security-verden.de/,No,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.website.mypetapp.co.za/,Yes,340,47,3,3,0,0,3,1,7,0,3,21,0,2,0
https://www.bratusferramentas.grupomoltz.com.br/,Yes,340,47,3,3,0,0,3,1,7,0,3,21,0,2,0
https://website.mypetapp.co.za/,Yes,340,47,3,3,0,0,3,1,7,0,3,21,0,2,0
https://bmdcompany.com/,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.test.peperoncinochepassione.it/,Yes,346,49,3,3,0,0,3,1,7,0,3,23,0,2,0
https://82.146.62.232/,Yes,286,54,7,0,0,0,0,0,3,0,2,12,0,0,1
http://82.146.62.232/,Yes,286,54,7,0,0,0,0,0,3,0,2,12,0,0,1
http://101.32.40.22/,Yes,178,34,0,0,0,0,3,1,4,0,0,18,0,0,0
https://staplebrokenmetaliyro.blogspot.com/,Yes,149,57,9,0,0,0,1,0,0,0,0,3,0,0,0
