URL,Suspicious,Threat Score,Total Indicators,Base64Strings,PowerShellCommands,EncodedPowerShell,PowerShellDownloads,ClipboardManipulation,ClipboardCommands,CaptchaElements,ObfuscatedJavaScript,SuspiciousCommands,SuspiciousKeywords,IP Addresses,High Risk Commands,JavaScript Redirects
http://roomnum-9983674.world/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://proprtrmsvstr.world/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://roomnum-9983674.world/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://proprtrmsvstr.world/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://api.centinyxlivetagfile.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://payment-verify.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://gestordeconfort.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://isthecapital.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://morebitro.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://rominvestitor.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://greenpulseland.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://brightbytesite.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://mxbankerspro.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://everygooodnews.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://formxinvestors.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://greenpulsebase.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://apidnschangerdmnd.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://morebitro.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://rominvesi.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://forum-from-hero.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://greenpulsebase.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
http://rominvesi.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://mxbankpro.com/,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
