URL,Suspicious,Threat Score,Total Indicators,Base64Strings,PowerShellCommands,EncodedPowerShell,PowerShellDownloads,ClipboardManipulation,ClipboardCommands,CaptchaElements,ObfuscatedJavaScript,SuspiciousCommands,SuspiciousKeywords,IP Addresses,High Risk Commands,JavaScript Redirects
https://nontonfilm.us,Yes,396,54,0,3,0,0,6,0,3,0,4,23,0,2,0
https://unclewileys.com,No,326,146,1,0,0,0,0,0,0,0,0,3,2,0,0
https://dat.claims,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://dubaiexpertplumber.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://update-ccleaner.run.place,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://warmembraceshop.com,No,9145,1333,7,0,0,0,0,0,0,0,0,4,0,0,0
https://adult.cheahpartners.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://mondossierrenov.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://spinedoctors.md,Yes,2567,429,11,0,0,0,1,0,0,0,1,2,0,1,1
https://xytelindia.com,No,11216,1424,0,0,0,0,0,0,0,0,0,4,0,0,0
https://wtaindia.com,No,4459,508,1,0,0,0,0,0,0,0,0,2,0,0,0
https://luminateclinic.com,No,1258,486,5,0,0,0,0,0,0,0,0,3,15,0,2
https://pub-a8c70268707f403c889fb3370abffd68.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://jzs86.com,No,4669,568,2,0,0,0,0,0,0,0,0,3,0,0,0
https://goalheadline.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://app.uptomac.com,No,16,5,0,0,0,0,0,0,0,0,0,1,0,0,0
https://addidas-wear.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://eetools.com,No,6573,894,10,0,0,0,0,0,0,0,0,4,1,0,1
https://britainsbrodcastingnews.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://new-yorktimes.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://piworfolo.com.theplatinumguesthouse.com,Yes,561,73,1,4,0,0,6,0,4,0,4,18,0,1,0
https://southernsolarcell.com,No,7552,994,20,0,0,0,0,0,0,0,0,3,0,0,0
https://ardiellifornasa.ge,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://thoseguysepoxyandmore.com,No,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1
https://aticusllc.com,Yes,5866,690,3,0,0,0,0,0,0,0,1,2,1,1,2
https://sunlook.fun,Yes,52,18,0,0,0,0,0,0,3,0,0,9,0,0,0
https://cdnpoint.guru,Yes,60,9,1,1,0,0,1,0,0,0,1,3,0,0,0
https://nextpage-gwg.pages.dev,Yes,60,9,1,1,0,0,1,0,0,0,1,3,0,0,0
https://nalagi-hotel.com,No,765,377,3,0,0,0,0,0,0,0,0,3,0,0,0
https://pumpfunaaexposed.pages.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://rjccabinets.com.au,No,376,187,0,0,0,0,0,0,0,0,0,3,0,0,4
https://namnamvaasa.fi,No,199,89,6,0,0,0,0,0,0,0,0,2,0,0,0
https://www.lntrealty.com,Yes,978,340,3,0,0,0,3,0,0,0,0,3,0,0,22
https://www.specworks.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://floralsupply.com,No,534,253,41,0,0,0,0,0,0,0,0,4,1,0,0
https://pub-4ecf9dbb36b14a6ca5cc2edda94239c8.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.alampat.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://cosi.com.ar,Yes,346,148,4,0,0,0,1,0,0,0,0,2,0,0,2
https://claudflurer.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://chemistnotes.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.naminail.at,No,6044,767,8,0,0,0,0,0,0,0,0,2,2,0,0
https://www.m-t.gov.gr,No,6420,864,10,0,0,0,0,0,0,0,0,2,4,0,7
https://stakesol.pro,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.kempter-meile.ch,Yes,312,137,2,0,0,0,1,0,2,0,0,2,0,0,0
https://cozypieces.lk,Yes,1206,581,32,0,0,0,0,0,0,5,0,3,17,0,0
https://decorete.com,No,5971,668,95,0,0,0,0,0,0,0,0,4,1,0,0
https://pub-2889d605e08246e4846fd7d50b9f7673.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://newsouthhomes.com.au,No,852,422,3,0,0,0,0,0,0,0,0,3,0,0,3
https://pccstride.org,No,251,118,0,0,0,0,0,0,0,0,0,3,0,0,0
https://colegioedmundovidal.cl,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://entremontehotel.com,No,7857,1058,9,0,0,0,0,0,0,0,0,5,2,0,0
https://iphone.offers-special.com,No,30,4,0,0,0,0,0,0,0,0,0,1,0,0,0
https://clarionschooldubai.com,Yes,1211,306,49,0,0,0,2,0,0,0,1,2,0,1,2
https://www.energy-ts.com,Yes,14525,1837,38,1,0,0,0,0,0,0,2,4,0,0,6
https://www.chillimanis.com.sg,Yes,10099,1265,13,0,0,0,4,0,0,0,0,2,0,0,1
https://www.paok24.com,No,1814,1243,18,0,0,0,0,0,0,0,0,4,0,0,1
https://www.marineeducational.com,No,10007,1194,5,0,0,0,0,0,0,0,0,6,1,0,0
https://bmtimes.co.uk,No,1877,487,3,0,0,0,0,0,0,0,0,4,1,0,0
https://dattafood.ca,No,1397,270,1,0,0,0,0,0,0,0,0,3,0,0,0
https://www.hefshibaschool.com,No,7165,894,29,0,0,0,0,0,0,0,0,3,1,0,0
https://mechanical.aspete.gr,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://isolidaries.org,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://sandiegocountynotary.com,No,1510,229,3,0,0,0,0,0,0,0,0,3,3,0,0
https://canaco.net,No,10207,1428,20,0,0,0,0,0,0,0,0,4,0,0,1
https://ashigaruwallet.rs,No,112,16,0,0,0,0,0,0,0,0,0,3,0,0,0
https://ftsi.com.ph,No,810,307,3,0,0,0,0,0,0,0,0,2,1,0,0
https://ipmmasterclass.com,Yes,586,74,1,3,0,1,6,0,4,0,3,19,1,2,0
https://techinnovhub.co.za,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://jovision-bd.com,No,2468,605,5,0,0,0,0,0,0,0,0,3,0,0,0
https://pub-2149a070e76f4ccabd67228f754768dc.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://birdrankup.com,Yes,366,47,0,3,0,0,6,0,3,0,4,18,0,2,0
https://os.clinic,No,1223,550,2,0,0,0,0,0,0,0,0,4,5,0,0
https://alfacaptcha.alfasbank.ru,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://elcomltd.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.thebrainworkshop.com,No,1384,514,44,0,0,0,0,0,0,0,0,4,0,0,2
https://birdrankex.com,Yes,366,47,0,3,0,0,6,0,3,0,4,18,0,2,0
https://constructionsmcl.com,Yes,1197,393,5,0,0,0,1,0,0,0,0,3,0,0,3
https://eastwestglassexpert.com,No,10405,1201,6,0,0,0,0,0,0,0,0,2,4,0,0
https://www.watchlist-verizon.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://pub-75942411e32842ff9c7c36752d5fbba8.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://avanteoficina.com.br,Yes,357,48,0,3,0,0,6,0,4,0,3,16,0,1,0
https://www.knowzalearning.com,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://tradesync.dev,Yes,61,21,0,0,0,0,0,0,3,0,0,12,0,0,0
https://dnesnibrno.cz,No,534,354,19,0,0,0,0,0,0,0,0,2,0,0,0
https://pumpcommunity.us,Yes,211,41,0,1,0,0,2,0,3,0,2,18,0,0,0
https://elternrat-bezaarau.ch,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.northamptonorthopaedics.co.uk,No,17551,1934,13,0,0,0,0,0,0,0,0,2,0,0,0
https://www.sifld.rajeshmhegde.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://www.pixelline.in,No,264,78,3,0,0,0,0,0,0,0,0,1,0,0,0
https://gnbleakfinders.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.mobher.co,No,209,95,1,0,0,0,0,0,0,0,0,3,0,0,0
https://www.jmw.lk,Yes,394,101,0,0,0,0,1,0,1,0,0,2,0,0,0
https://dongfeng-uae.com,No,6434,817,14,0,0,0,0,0,0,0,0,3,1,0,0
https://coffeyelectric.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://devgitgod.pro,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://armaa.org,No,21548,2467,8,0,0,0,0,0,0,0,0,4,0,0,0
https://svtp.gov.mw,Yes,1366,954,4,0,0,0,0,0,1,0,0,2,0,0,0
https://hglawyers.com,No,629,232,6,0,0,0,0,0,0,0,0,2,0,0,0
https://elle-wellness.com,No,7335,848,5,0,0,0,0,0,0,0,0,2,0,0,0
https://binduhardware.com.np,No,3679,1579,41,0,0,0,0,0,0,0,0,4,1,0,0
https://careerslumen.com,No,16,2,0,0,0,0,0,0,0,0,0,0,0,0,1
https://prestigeinternationalschooltd.com,No,2240,306,3,0,0,0,0,0,0,0,0,2,0,0,0
https://blessdayservices.org,Yes,309,40,0,3,0,1,4,1,4,0,4,13,0,2,0
https://themislegal.com.au,No,7953,905,5,0,0,0,0,0,0,0,0,3,1,0,0
https://yorkcars-taxis.co.uk,No,17072,2000,15,0,0,0,0,0,0,0,0,3,2,0,0
https://pub-b4e149870eb044c2b0d90459885821f9.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://watchlist-verizon.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://minhajautorepair-ae.oam.pgs.mybluehostin.me,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://vfy2.help,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://crm.jskymedia.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://www.quirkyrealty.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://growsearch.in,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://asmicareer.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://cryptocompass.dev,Yes,61,21,0,0,0,0,0,0,3,0,0,12,0,0,0
https://sharanilodge.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://www.comolube.com,No,17,6,0,0,0,0,0,0,0,0,0,1,0,0,0
https://theamoralists.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://quirkyrealty.com,Yes,405,52,0,3,0,1,6,0,4,0,3,18,1,2,0
https://tickets-sarstedt.365-portal.net,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://moro-mie.com,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://probirdrank.com,Yes,366,47,0,3,0,0,6,0,3,0,4,18,0,2,0
https://termal.bailetusnad.de,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://glynneathdental.com,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://mail.journalultv.edu.vn,Yes,351,46,0,3,0,0,5,0,3,0,4,18,0,2,0
https://liveworkplaylkn.com,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
